scene,mos,entropy,contrast,sharpness,brightness,colorfulness,noise
64,4.388590843878852,5.765534064814888,0.18441619430868023,0.01103612840595597,0.7001656027401195,0.044073686146951306,0.005499482459294432
64,5.393097977903277,5.505303065102266,0.15703068216355826,0.010280965572426208,0.631671022901348,0.06537324160660525,0.004739232094468673
64,5.12657203947419,5.4001202528693195,0.126093065350028,0.010863939656101437,0.5259971768248315,0.07234706094666692,0.0067539083521066705
64,4.519018574077294,5.799807522748589,0.142016388665034,0.012662800616957045,0.5547948899611927,0.04770201962910849,0.00582043213836241
64,3.989688269767004,6.937953166950145,0.27667250481351136,0.025103919576892737,0.7321129992117289,0.09972007612120412,0.010419606525080848
64,4.034818596436595,5.518134791460326,0.15179583593838836,0.013356293146077777,0.6632641561670242,0.07505488260955463,0.005783061888526724
64,4.562358548732823,6.054891392627042,0.1896883752931255,0.025422864740129416,0.6315000147601358,0.04013924283967301,0.010045887251839105
64,3.110984755011188,6.087562131570851,0.16360517075665718,0.011949501096510603,0.4429092207765268,0.05058559848185445,0.006375504692256641
64,5.810734447096021,6.188262648440729,0.15528934099564,0.01946054724854112,0.6618443308312908,0.075161309496092,0.008537682512819191
64,6.211721230602589,3.371410861747841,0.2339343810696687,0.042771898340682894,0.8904557870104421,0.048742625660378576,0.011509424666091892
62,7.789253375217188,7.439390917143877,0.17715242324773192,0.05553390549871693,0.4142909131018944,0.18434180755869092,0.029939856506499277
62,4.686778290693608,7.4881705827999685,0.23799239510439912,0.03807235916220697,0.3100588829688776,0.14071103315233535,0.02580646615507429
62,5.4635212274902445,7.424674797059204,0.19712038999124443,0.017166717267092294,0.5051013522677951,0.17261034732041916,0.015172526925627813
62,5.314805439874593,7.234224991516134,0.1666496593796371,0.02064890109791881,0.4757604860791973,0.22814403847219877,0.01484689285995155
62,4.878444956953112,7.551790028813861,0.22988354391937374,0.05628644243338334,0.3802254870046977,0.08970951592727235,0.03207402026927905
62,4.106887162954501,7.536357360530002,0.20265247215076237,0.020079468378147072,0.4658187567018995,0.09064417359819457,0.017475026658377774
62,3.5485593226801293,7.365677287460942,0.19289723103386627,0.019078992505816954,0.3290570926042943,0.06744075172050208,0.019108074284543742
62,5.821264022155625,7.151311191946898,0.17372286152491884,0.025230587810718498,0.367031800513174,0.15739357309597032,0.0229812777837293
62,3.807310001721752,7.47376917923937,0.2008966376388531,0.024971013300852794,0.4970728656045752,0.07971499943395191,0.01922673562660419
62,1.7307614832390756,7.618811054902365,0.3041746782028448,0.11351581169408571,0.5933032166724111,0.1417711711834148,0.048233812077082557
1,2.957990383217217,6.463738195400486,0.09693073509812516,0.0015998105253338217,0.3280387928283292,0.07762396822616675,0.0037700421507725897
1,3.4303013131254487,5.759252228483692,0.07455207292066578,0.001357872674571856,0.10185478060853248,0.049497649338936064,0.004977112543512497
1,3.775912364840292,6.559125886917675,0.10858199649471256,0.003639794581013262,0.2369331808651195,0.07309275084856878,0.010004008751686581
1,4.82624976257477,6.590366340985833,0.1091320517467746,0.0012270563758152479,0.40932893441393486,0.055650910293738996,0.002235425355477831
1,4.538490255292966,6.36939037561408,0.10421522801986582,0.0030930113508665234,0.1680795108570772,0.06241068651878441,0.008118759118493525
1,5.323688097327976,7.11990943092412,0.14281188022988942,0.004612989923776119,0.4091953651577819,0.08679446786464991,0.010468706613182764
1,5.5330033043319,6.797485444670763,0.12360311453547246,0.0016857470624494812,0.3890681447546466,0.06664726738975861,0.002253479325351315
1,3.1200554625972408,6.823619228953271,0.1230593130254718,0.008023666593383438,0.4567139270258885,0.1589946504563785,0.009191517201561404
1,4.586133277215256,6.6099873814401215,0.12719838673457,0.0018545895268848142,0.24710247563380822,0.2572349933926456,0.0041352355887639735
1,9.055761062456762,6.99813928039481,0.1573621447297488,0.00922248261659997,0.2927231632806117,0.13784979911810166,0.014812537895676613
74,3.916260636269496,7.483203517371522,0.1921840892773525,0.032652134705187935,0.559583267511106,0.2085082496271445,0.008101686479386683
74,4.982907370701398,7.513558339290141,0.18586044640757368,0.029650584428148434,0.5204620859981363,0.19868387979381574,0.009363182986184219
74,5.528902488425907,7.718317165294596,0.24287482878413352,0.039918465394288866,0.5760832244274663,0.22234271710329537,0.01222754490749163
74,5.345041000557121,7.804675766990127,0.23354927288150695,0.06392082176159178,0.5259187486436633,0.1723080605818689,0.016895299217401957
74,5.575261397582919,7.585871405659384,0.1937190272941793,0.024584679860680313,0.4330194510665594,0.1375873678073768,0.010346442864590067
74,5.716120112525752,7.429413962071925,0.1706973385271623,0.02877854403310296,0.45671423619089563,0.17943345958868215,0.011659023089628927
74,5.811368004641582,7.488342384207352,0.18199172903499936,0.03739825445989164,0.4630765827652676,0.21367707491480706,0.010250113088052565
74,3.508539849139917,7.439639691196567,0.3053334960041249,0.060902781661473684,0.5224084891524969,0.26528252727420437,0.015338942171276968
74,4.892796479571009,7.579691764402612,0.20306789943760772,0.02112602898194339,0.6114550721411611,0.3127764330348524,0.008433296597808528
74,1.8703879435647297,6.890167793608134,0.2534766327938564,0.07920494442136537,0.7538737278358609,0.3230090968585391,0.021422492573015057
7,2.928265975558133,6.62995326731532,0.34295970275992615,0.061990183289163885,0.351283947247155,0.2143699197838087,0.015150581319956618
7,5.913108984543241,7.642423486865998,0.25814328904707984,0.027010117258767195,0.3751546993541967,0.25516814476019656,0.00856828794657136
7,3.7165930266047393,7.460642310324356,0.28691234005317956,0.02785846220347259,0.4204086379527969,0.1858635613009789,0.00752571364494047
7,3.765247673007466,7.606060135413227,0.22939285041665655,0.03936928634607953,0.4492079288714804,0.17945548779860054,0.011388542954891405
