scene,mos,entropy,contrast,sharpness
64,4.388590843878852,5.765534064814888,0.18441619430868023,0.01103612840595597
64,5.393097977903277,5.505303065102266,0.15703068216355826,0.010280965572426208
64,5.12657203947419,5.4001202528693195,0.126093065350028,0.010863939656101437
64,4.519018574077294,5.799807522748589,0.142016388665034,0.012662800616957045
64,3.989688269767004,6.937953166950145,0.27667250481351136,0.025103919576892737
64,4.034818596436595,5.518134791460326,0.15179583593838836,0.013356293146077777
64,4.562358548732823,6.054891392627042,0.1896883752931255,0.025422864740129416
64,3.110984755011188,6.087562131570851,0.16360517075665718,0.011949501096510603
64,5.810734447096021,6.188262648440729,0.15528934099564,0.01946054724854112
64,6.211721230602589,3.371410861747841,0.2339343810696687,0.042771898340682894
62,7.789253375217188,7.439390917143877,0.17715242324773192,0.05553390549871693
62,4.686778290693608,7.4881705827999685,0.23799239510439912,0.03807235916220697
62,5.4635212274902445,7.424674797059204,0.19712038999124443,0.017166717267092294
62,5.314805439874593,7.234224991516134,0.1666496593796371,0.02064890109791881
62,4.878444956953112,7.551790028813861,0.22988354391937374,0.05628644243338334
62,4.106887162954501,7.536357360530002,0.20265247215076237,0.020079468378147072
62,3.5485593226801293,7.365677287460942,0.19289723103386627,0.019078992505816954
62,5.821264022155625,7.151311191946898,0.17372286152491884,0.025230587810718498
62,3.807310001721752,7.47376917923937,0.2008966376388531,0.024971013300852794
62,1.7307614832390756,7.618811054902365,0.3041746782028448,0.11351581169408571
1,2.957990383217217,6.463738195400486,0.09693073509812516,0.0015998105253338217
1,3.4303013131254487,5.759252228483692,0.07455207292066578,0.001357872674571856
1,3.775912364840292,6.559125886917675,0.10858199649471256,0.003639794581013262
1,4.82624976257477,6.590366340985833,0.1091320517467746,0.0012270563758152479
1,4.538490255292966,6.36939037561408,0.10421522801986582,0.0030930113508665234
1,5.323688097327976,7.11990943092412,0.14281188022988942,0.004612989923776119
1,5.5330033043319,6.797485444670763,0.12360311453547246,0.0016857470624494812
1,3.1200554625972408,6.823619228953271,0.1230593130254718,0.008023666593383438
1,4.586133277215256,6.6099873814401215,0.12719838673457,0.0018545895268848142
1,9.055761062456762,6.99813928039481,0.1573621447297488,0.00922248261659997
74,3.916260636269496,7.483203517371522,0.1921840892773525,0.032652134705187935
74,4.982907370701398,7.513558339290141,0.18586044640757368,0.029650584428148434
74,5.528902488425907,7.718317165294596,0.24287482878413352,0.039918465394288866
74,5.345041000557121,7.804675766990127,0.23354927288150695,0.06392082176159178
74,5.575261397582919,7.585871405659384,0.1937190272941793,0.024584679860680313
